任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
,念/唸,念/唸,"niàn ",V,ㄋㄧㄢˋ,基-132,132
,練習,練習,"liànxí ",N,ㄌㄧㄢˋ　ㄒㄧˊ,基-133,133
,討論,討論,"tǎolùn ",V,ㄊㄠˇ　ㄌㄨㄣˋ,基-134,134
,認為,認為,"rènwéi ",V,ㄖㄣˋ　ㄨㄟˊ,基-135,135
,解釋,解釋,"jiěshì ",N,ㄐㄧㄝˇ　ㄕˋ,基-136,136
,同意,同意,"tóngyì ",Vst,ㄊㄨㄥˊ　ㄧˋ,基-137,137
,了解/瞭解,了解,"liǎojiě ",Vst,ㄌㄧㄠˇ　ㄐㄧㄝˇ,基-138,138
,清楚,清楚,"qīngchǔ ",Vs,ㄑㄧㄥ　ㄔㄨˇ,基-139,139
,無聊,無聊,"wúliáo ",Vs,ㄨˊ　ㄌㄧㄠˊ,基-140,140
,決定,決定,"juédìng ",Vp,ㄐㄩㄝˊ　ㄉㄧㄥˋ,基-141,141
,遍,遍,"biàn ",M,ㄅㄧㄢˋ,基-142,142
,交,交,"jiāo ",V,ㄐㄧㄠ,基-143,143
,借,借,"jiè ",V,ㄐㄧㄝˋ,基-144,144
,算,算,"suàn ",V,ㄙㄨㄢˋ,基-145,145
,對,對,"duì ",Vs,ㄉㄨㄟˋ,基-146,146
,錯,錯,"cuò ",Vp,ㄘㄨㄛˋ,基-147,147
,辦法,辦法,"bànfǎ ",N,ㄅㄢˋ　ㄈㄚˇ,基-148,148
,方法,方法,"fāngfǎ ",N,ㄈㄤ　ㄈㄚˇ,基-149,149
,有用,有用,"yǒuyòng ",Vs,ㄧㄡˇ　ㄩㄥˋ,基-150,150
,進步,進步,"jìnbù ",Vp,ㄐㄧㄣˋ　ㄅㄨˋ,基-151,151
,忘,忘,"wàng ",Vp,ㄨㄤˋ,基-152,152
,記,記,"jì ",V,ㄐㄧˋ,基-153,153
房屋與家庭、環境,公寓,公寓,"gōngyù ",N,ㄍㄨㄥ　ㄩˋ,基-154,154
,大樓,大樓,"dàlóu ",N,ㄉㄚˋ　ㄌㄡˊ,基-155,155
,臥室,臥室,"wòshì ",N,ㄨㄛˋ　ㄕˋ,基-156,156
,花園,花園,"huāyuán ",N,ㄏㄨㄚ　ㄩㄢˊ,基-157,157
,門口,門口,"ménkǒu ",N,ㄇㄣˊ　ㄎㄡˇ,基-158,158
,浴室,浴室,"yùshì ",N,ㄩˋ　ㄕˋ,基-159,159
,樓梯,樓梯,"lóutī ",N,ㄌㄡˊ　ㄊㄧ,基-160,160
,牆,牆,"qiáng ",N,ㄑㄧㄤˊ,基-161,161
,洗衣機,洗衣機,"xǐyījī ",N,ㄒㄧˇ　ㄧ　ㄐㄧ,基-162,162
,冰箱,冰箱,"bīngxiāng ",N,ㄅㄧㄥ　ㄒㄧㄤ,基-163,163
,燈,燈,"dēng ",N,ㄉㄥ,基-164,164
,打開,打開,"dǎkāi ",Vp,ㄉㄚˇ　ㄎㄞ,基-165,165
,盒子,盒子,hézi,N,ㄏㄜˊ　˙ㄗ,基-166,166
,鄰居,鄰居,"línjū ",N,ㄌㄧㄣˊ　ㄐㄩ,基-167,167
,熱鬧(˙ㄋㄠ),熱鬧(˙ㄋㄠ),"rènao ",Vs,ㄖㄜˋ　˙ㄋㄠ,基-168,168
,吵,吵,"chǎo ",Vs,ㄔㄠˇ,基-169,169
,滿意,滿意,"mǎnyì ",Vst,ㄇㄢˇ　ㄧˋ,基-170,170
,乾淨,乾淨,"gānjìng ",Vs,ㄍㄢ　ㄐㄧㄥˋ,基-171,171
,房租,房租,"fángzū ",N,ㄈㄤˊ　ㄗㄨ,基-172,172
,租,租,"zū ",V,ㄗㄨ,基-173,173
,開水,開水,"kāishuǐ ",N,ㄎㄞ　ㄕㄨㄟˇ,基-174,174
,鄉下,鄉下,"xiāngxià ",N,ㄒㄧㄤ　ㄒㄧㄚˋ,基-175,175
,森林,森林,"sēnlín ",N,ㄙㄣ　ㄌㄧㄣˊ,基-176,176
,地,地,"dì ",N,ㄉㄧˋ,基-177,177
,草,草,"cǎo ",N,ㄘㄠˇ,基-178,178
,枝,枝,"zhī ",M,ㄓ,基-179,179
,隻,隻,"zhī ",M,ㄓ,基-180,180
,動物,動物,"dòngwù ",N,ㄉㄨㄥˋ　ㄨˋ,基-181,181
,牛,牛,"niú ",N,ㄋㄧㄡˊ,基-182,182
,虎,虎,"hŭ ",N,ㄏㄨˇ,基-183,183
,羊,羊,"yáng ",N,ㄧㄤˊ,基-184,184
,豬,豬,"zhū ",N,ㄓㄨ,基-185,185
,月亮,月亮,"yuèliàng ",N,ㄩㄝˋ　ㄌㄧㄤˋ,基-186,186
,星星,星星,"xīngxīng ",N,ㄒㄧㄥ　ㄒㄧㄥ,基-187,187
,雲,雲,"yún ",N,ㄩㄣˊ,基-188,188
,地球,地球,"dìqiú ",N,ㄉㄧˋ　ㄑㄧㄡˊ,基-189,189
,世界,世界,"shìjiè ",N,ㄕˋ　ㄐㄧㄝˋ,基-190,190
,環境,環境,"huánjìng ",N,ㄏㄨㄢˊ　ㄐㄧㄥˋ,基-191,191
,火,火,"huǒ ",N,ㄏㄨㄛˇ,基-192,192
,晴天,晴天,"qíngtiān ",N,ㄑㄧㄥˊ　ㄊㄧㄢ,基-193,193
,暖和,暖和,"nuǎnhuo ",Vs,ㄋㄨㄢˇ　˙ㄏㄨㄛ,基-194,194
,涼快,涼快,"liángkuài ",Vs,ㄌㄧㄤˊ　ㄎㄨㄞˋ,基-195,195
,溫暖,溫暖,"wēnnuăn ",Vs,ㄨㄣ　ㄋㄨㄢˇ,基-196,196
,度,度,"dù ",M,ㄉㄨˋ,基-197,197
,溫度,溫度,"wēndù ",N,ㄨㄣ　ㄉㄨˋ,基-198,198
,雨,雨,"yǔ ",N,ㄩˇ,基-199,199
,雪,雪,"xuě ",N,ㄒㄩㄝˇ,基-200,200
,空氣,空氣,"kōngqì ",N,ㄎㄨㄥ　ㄑㄧˋ,基-201,201
,間,間,"jiān ",M,ㄐㄧㄢ,基-202,202
日常生活,睡,睡,"shuì ",Vi,ㄕㄨㄟˋ,基-203,203
,發生,發生,"fāshēng ",Vpt,ㄈㄚ　ㄕㄥ,基-204,204
,發現,發現,"fāxiàn ",Vp,ㄈㄚ　ㄒㄧㄢˋ,基-205,205
,發現,發現,"fāxiàn ",N,ㄈㄚ　ㄒㄧㄢˋ,基-206,206
,照顧,照顧,"zhàogù ",V,ㄓㄠˋㄍㄨˋ,基-207,207
,打掃,打掃,"dǎsǎo ",V,ㄉㄚˇ　ㄙㄠˇ,基-208,208
,餐,餐,"cān ",N,ㄘㄢ,基-209,209
,起來,起來,"qǐlái ",Vp,ㄑㄧˇ　ㄌㄞˊ,基-210,210
,搬,搬,"bān ",V,ㄅㄢ,基-211,211
,掛,掛,"guà ",V,ㄍㄨㄚˋ,基-212,212
,有空/有空兒,有空/有空兒,yǒukòng/yǒukòngr,Vs,"ㄧㄡˇ　ㄎㄨㄥˋ /ㄧㄡˇㄎㄨㄥˋㄦ",基-213,213
,過年,過年,"guònián ",Vi,ㄍㄨㄛˋ　ㄋㄧㄢˊ,基-214,214
閒暇時間、娛樂,結束,結束,"jiéshù ",Vp,ㄐㄧㄝˊ　ㄕㄨˋ,基-215,215
,完,完,"wán ",Vp,ㄨㄢˊ,基-216,216
,散步,散步,"sànbù ",V-sep,ㄙㄢˋ　ㄅㄨˋ,基-217,217
,爬,爬,"pá ",Vi,ㄆㄚˊ,基-218,218
,跳,跳,"tiào ",Vi,ㄊㄧㄠˋ,基-219,219
,座位,座位,"zuòwèi ",N,ㄗㄨㄛˋ　ㄨㄟˋ,基-220,220
,博物館,博物館,"bówùguăn ",N,ㄅㄛˊ　ㄨˋ　ㄍㄨㄢˇ,基-221,221
,節目,節目,"jiémù ",N,ㄐㄧㄝˊ　ㄇㄨˋ,基-222,222
,新聞,新聞,"xīnwén ",N,ㄒㄧㄣ　ㄨㄣˊ,基-223,223
,政治,政治,"zhèngzhì ",N,ㄓㄥˋ　ㄓˋ,基-224,224
,體育,體育,"tǐyù ",N,ㄊㄧˇ　ㄩˋ,基-225,225
,網站,網站,"wǎngzhàn ",N,ㄨㄤˇ　ㄓㄢˋ,基-226,226
,還,還,"hái ",Adv,ㄏㄞˊ,基-227,227
,經常,經常,"jīngcháng ",Adv,ㄐㄧㄥ　ㄔㄤˊ,基-228,228
,平常,平常,"píngcháng ",N,ㄆㄧㄥˊ　ㄔㄤˊ,基-229,229
,總是,總是,"zǒngshì ",Adv,ㄗㄨㄥˇ　ㄕˋ,基-230,230
,已經,已經,"yǐjīng ",Adv,ㄧˇ　ㄐㄧㄥ,基-231,231
,各,各,"gè ",Det,ㄍㄜˋ,基-232,232
,雜誌,雜誌,"zázhì ",N,ㄗㄚˊ　ㄓˋ,基-233,233
,文章,文章,"wénzhāng ",N,ㄨㄣˊ　ㄓㄤ,基-234,234
,故事(˙ㄕ),故事(˙ㄕ),gùshi,N,ㄍㄨˋ　˙ㄕ,基-235,235
,小說,小說,"xiǎoshuō ",N,ㄒㄧㄠˇ　ㄕㄨㄛ,基-236,236
,美術,美術,"měishù ",N,ㄇㄟˇ　ㄕㄨˋ,基-237,237
,藝術,藝術,"yìshù ",N,ㄧˋ　ㄕㄨˋ,基-238,238
,興趣,興趣,"xìngqù ",N,ㄒㄧㄥˋ　ㄑㄩˋ,基-239,239
,收,收,"shōu ",V,ㄕㄡ,基-240,240
,談,談,"tán ",V,ㄊㄢˊ,基-241,241
,聊天/聊天兒,聊天/聊天兒,liáotiān/liáotiānr,V-sep,ㄌㄧㄠˊ　ㄊㄧㄢ/ㄌㄧㄠˊㄊㄧㄢㄦ,基-242,242
,唱,唱,"chàng ",V,ㄔㄤˋ,基-243,243
,歌,歌,gē,N,ㄍㄜ,基-244,244
,早,早,"zǎo ",Vs,ㄗㄠˇ,基-245,245
,遲到,遲到,"chídào ",Vp,ㄔˊ　ㄉㄠˋ,基-246,246
,後來,後來,"hòulái ",N,ㄏㄡˋ　ㄌㄞˊ,基-247,247
,變,變,"biàn ",V,ㄅㄧㄢˋ,基-248,248
,跳舞,跳舞,"tiàowǔ ",V-sep,ㄊㄧㄠˋ　ㄨˇ,基-249,249
,樂器,樂器,"yuèqì ",N,ㄩㄝˋ　ㄑㄧˋ,基-250,250
,吉他,吉他,"jítā ",N,ㄐㄧˊ　ㄊㄚ,基-251,251
,鋼琴,鋼琴,"gāngqín ",N,ㄍㄤ　ㄑㄧㄣˊ,基-252,252
,可怕,可怕,"kěpà ",Vs,ㄎㄜˇ　ㄆㄚˋ,基-253,253
,活動,活動,"huódòng ",N,ㄏㄨㄛˊ　ㄉㄨㄥˋ,基-254,254
,就,就,"jiù ",Adv,ㄐㄧㄡˋ,基-255,255
,消息,消息,"xiāoxí ",N,ㄒㄧㄠ　ㄒㄧˊ,基-256,256
,才,才,"cái ",Adv,ㄘㄞˊ,基-257,257
,又,又,"yòu ",Adv,ㄧㄡˋ,基-258,258
與他人的關係,客人,客人,"kèrén ",N,ㄎㄜˋ　ㄖㄣˊ,基-259,259
,不好意思,不好意思,"bùhǎoyìsi ",,ㄅㄨˋ　ㄏㄠˇ　ㄧˋ　˙ㄙ,基-260,260
,怎麼了,怎麼了,"zěnmele ",,ㄗㄣˇㄇㄜ˙ㄌㄜ˙,基-261,261
,怎麼辦,怎麼辦,"zěnmebàn ",,ㄗㄣˇ　˙ㄇㄜ　ㄅㄢˋ,基-262,262
,客氣(˙ㄑㄧ),客氣(˙ㄑㄧ),kèqi,Vs,ㄎㄜˋ　˙ㄑㄧ,基-263,263
,舞會,舞會,"wŭhuì ",N,ㄨˇ　ㄏㄨㄟˋ,基-264,264
,最近,最近,"zuìjìn ",Adv,ㄗㄨㄟˋ　ㄐㄧㄣˋ,基-265,265
,請客,請客,"qǐngkè ",V-sep,ㄑㄧㄥˇ　ㄎㄜˋ,基-266,266
,慶祝,慶祝,"qìngzhù ",V,ㄑㄧㄥˋ　ㄓㄨˋ,基-267,267
,聽說,聽說,"tīngshuō ",V,ㄊㄧㄥ　ㄕㄨㄛ,基-268,268
,感謝,感謝,"gǎnxiè ",Vst,ㄍㄢˇ　ㄒㄧㄝˋ,基-269,269
,見面,見面,"jiànmiàn ",V-sep,ㄐㄧㄢˋ　ㄇㄧㄢˋ,基-270,270
,約,約,"yuē ",V,ㄩㄝ,基-271,271
,事,事,"shì ",N,ㄕˋ,基-272,272
,事情,事情,"shìqíng ",N,ㄕˋ　ㄑㄧㄥˊ,基-273,273
,明信片,明信片,"míngxìnpiàn ",N,ㄇㄧㄥˊ　ㄒㄧㄣˋ　ㄆㄧㄢˋ,基-274,274
,卡片,卡片,"kǎpiàn ",N,ㄎㄚˇ　ㄆㄧㄢˋ,基-275,275
,幫,幫,"bāng ",V,ㄅㄤ,基-276,276
,弄,弄,"nòng ",V,ㄋㄨㄥˋ,基-277,277
,檢查,檢查,"jiǎnchá ",V,ㄐㄧㄢˇ　ㄔㄚˊ,基-278,278
,通知,通知,"tōngzhī ",V,ㄊㄨㄥ　ㄓ,基-279,279
,通知,通知,"tōngzhī ",N,ㄊㄨㄥ　ㄓ,基-280,280
,叫,叫,"jiào ",V,ㄐㄧㄠˋ,基-281,281
