任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條編號
,坐,坐,"zuò ",Vi,ㄗㄨㄛˋ,準1-118,118
,開車,開車,"kāichē ",V-sep,ㄎㄞ　ㄔㄜ,準1-119,119
購物,錢,錢,"qián ",N,ㄑㄧㄢˊ,準1-120,120
,多少,多少,"duōshǎo ",N,ㄉㄨㄛ　ㄕㄠˇ,準1-121,121
,給,給,"gěi ",V,ㄍㄟˇ,準1-122,122
,給,給,"gěi ",Prep,ㄍㄟˇ,準1-123,123
,貴,貴,"guì ",Vs,ㄍㄨㄟˋ,準1-124,124
,便宜(˙ㄧ),便宜(˙ㄧ),piányi,Vs,ㄆㄧㄢˊ　˙ㄧ,準1-125,125
,大,大,"dà ",Vs,ㄉㄚˋ,準1-126,126
,小,小,"xiǎo ",Vs,ㄒㄧㄠˇ,準1-127,127
,難,難,"nán ",Vs,ㄋㄢˊ,準1-128,128
,容易,容易,"róngyì ",Vs,ㄖㄨㄥˊ　ㄧˋ,準1-129,129
,有,有,"yǒu ",Vst,ㄧㄡˇ,準1-130,130
,想,想,"xiǎng ",Vst,ㄒㄧㄤˇ,準1-131,131
飲食,幾,幾,"jǐ ",Det,ㄐㄧˇ,準1-132,132
,塊,塊,"kuài ",M,ㄎㄨㄞˋ,準1-133,133
,飯,飯,"fàn ",N,ㄈㄢˋ,準1-134,134
,吃,吃,"chī ",V,ㄔ,準1-135,135
,請,請,"qǐng ",V,ㄑㄧㄥˇ,準1-136,136
其他,也,也,"yě ",Adv,ㄧㄝˇ,準1-137,137
,不,不,bù,Adv,ㄅㄨˋ,準1-138,138
,沒,沒,"méi ",Adv,ㄇㄟˊ,準1-139,139
,都,都,"dōu ",Adv,ㄉㄡ,準1-140,140
,只,只,zhǐ,Adv,ㄓˇ,準1-141,141
,可是,可是,"kěshì ",Conj,ㄎㄜˇ　ㄕˋ,準1-142,142
,還是,還是,"háishì ",Conj,ㄏㄞˊ　ㄕˋ,準1-143,143
,了,了,le,Ptc,˙ㄌㄜ,準1-144,144
,得,得,de,Ptc,˙ㄉㄜ,準1-145,145
,過,過,"guò ",Ptc,ㄍㄨㄛˋ,準1-146,146
